,dataset,n_rows,n_classes,teacher_acc,student_acc,baseline_acc,agreement,teacher_auc,student_auc,baseline_auc,kl
0,tic-tac-toe,958,2,0.5688421052631579,0.580421052631579,0.5901052631578947,0.7816842105263159,0.5405728577791483,0.5542105340440215,0.5523393487315781,0.338533553481102
1,monks-problems-2,601,2,0.6222596964586846,0.5895446880269815,0.5801011804384485,0.7973018549747047,0.4925678918782367,0.5111759504862953,0.5061551092585576,0.26249741911888125
2,sonar,208,2,0.626,0.637,0.627,0.8549999999999999,0.6823836800321577,0.6919706562154557,0.6953572505275852,1.2775288343429565
3,ionosphere,351,2,0.7142857142857143,0.7294460641399417,0.7381924198250728,0.7947521865889213,0.7913821138211382,0.7300000000000001,0.7012084257206208,1.2030222415924072
4,vehicle,846,4,0.4350835322195704,0.45035799522673037,0.435799522673031,0.6446300715990454,0.7220486529274573,0.6972280995653921,0.6843214898194974,1.7758379697799682
5,wdbc,569,2,0.9190730837789662,0.906951871657754,0.9090909090909092,0.9237076648841354,0.9785613310134842,0.965717431491953,0.9685107655502392,0.46424704790115356
6,diabetes,768,2,0.6665789473684212,0.656578947368421,0.6678947368421053,0.76,0.7148938441013912,0.6933150371640938,0.6843643987040213,0.99719318151474
7,ilpd,583,2,0.7043478260869565,0.6302608695652173,0.6403478260869565,0.719304347826087,0.6129105691056911,0.6349711751662971,0.6170909090909091,1.843182373046875
8,blood-transfusion,748,2,0.6900000000000001,0.6251351351351351,0.6072972972972973,0.6810810810810811,0.5946637250161186,0.6165518214055448,0.5903842279174726,1.1557988405227662
9,titanic,1309,2,0.6539584934665641,0.6485780169100692,0.6481168332052267,0.8458109146810147,0.638358759522308,0.5883535041092325,0.6086396488383035,1.1447574973106385
10,heart-statlog,270,2,0.7114503816793892,0.7114503816793893,0.7282442748091603,0.8473282442748091,0.804900803023146,0.809199338686821,0.8226027397260273,0.7030642986297607
11,wine,178,3,0.8705882352941176,0.8188235294117646,0.8588235294117647,0.8658823529411764,0.9800480979383158,0.9476533516871374,0.9675576388528307,0.9982031583786011
12,hepatitis,155,2,0.782312925170068,0.7251700680272108,0.7918367346938775,0.7469387755102042,0.700911680911681,0.7708262108262108,0.7681766381766382,0.8433256864547729
13,tae,151,3,0.3888111888111888,0.43916083916083914,0.43216783216783217,0.5748251748251748,0.5716526149466878,0.5902563685048487,0.5776901806822019,2.891127514839172
14,haberman,306,2,0.7140939597315435,0.6711409395973155,0.689261744966443,0.865771812080537,0.5428761343274956,0.42722963990520785,0.4525692156522744,0.6336527585983276
15,vote,435,2,0.8932084309133488,0.8571428571428571,0.8725995316159251,0.9002341920374708,0.9623710386305806,0.9490307656719871,0.95970622253065,0.2412328228354454
16,monks-problems-1,556,2,0.6062043795620438,0.5941605839416059,0.57007299270073,0.7828467153284671,0.6342666098353668,0.6087884277265705,0.6014625179817785,0.2742548853158951
17,monks-problems-3,554,2,0.6296703296703295,0.6608058608058608,0.6582417582417581,0.8289377289377289,0.7326335877862595,0.748481346091818,0.7288692076120846,0.21532470881938934
18,planning-relax,182,2,0.6977011494252873,0.6068965517241379,0.6195402298850574,0.7505747126436781,0.48900000000000005,0.5093870967741936,0.5031774193548386,1.5547235250473022
19,credit-approval,690,2,0.7659824046920821,0.7184750733137829,0.7187683284457478,0.8469208211143695,0.826320785112812,0.7694349382167768,0.8141940315403572,0.27916802167892457
20,breast-w,699,2,0.9432706222865412,0.9363241678726484,0.9467438494934877,0.9704775687409551,0.9894596249095665,0.9854564342293208,0.9901766004415011,0.16484917774796487
21,breast-cancer,286,2,0.6597122302158274,0.6568345323741007,0.662589928057554,0.8302158273381295,0.5921223354958295,0.562786530738338,0.5754155081865925,0.37242628931999205
22,credit-g,1000,2,0.6375,0.6193548387096774,0.6463709677419354,0.8181451612903226,0.5705665048449801,0.5475944335918612,0.5584835502775467,0.4272313743829727
23,cleveland,303,2,0.6494915254237288,0.7423728813559322,0.7430508474576272,0.7742372881355932,0.7501203703703704,0.8212592592592592,0.8315833333333333,0.3444694370031357
24,colic,368,2,0.7333333333333332,0.6944444444444444,0.7083333333333333,0.7855555555555556,0.7775959723096286,0.7584114471200026,0.7560895631148356,0.3892446607351303
25,biomed,209,2,0.8288557213930348,0.7990049751243782,0.8129353233830846,0.834825870646766,0.9051679586563306,0.8650086132644272,0.8525301464254953,0.7046101212501525
26,analcatdata_lawsuit,264,2,0.93515625,0.9453125,0.93125,0.96953125,0.9145658263305322,0.9014939309056956,0.9338935574229691,0.10755996704101563
27,climate-crashes,540,2,0.9154135338345866,0.8169172932330827,0.9101503759398495,0.8729323308270676,0.6014236824093087,0.5860825918320784,0.6186630161989505,0.38901873528957365
28,acute-inflammations,120,2,0.8767857142857143,0.9482142857142858,0.9517857142857142,0.9285714285714285,0.9940425531914894,0.9955482815057284,1.0,0.21083137579262257
29,breast-tissue,106,6,0.3448979591836735,0.2959183673469387,0.30204081632653057,0.3877551020408163,0.614230395200623,0.6105791422122564,0.6189961592248163,2.337218427658081
30,fertility,100,2,0.8782608695652174,0.8586956521739131,0.8456521739130436,0.9630434782608696,0.5290684624017958,0.5855218855218856,0.5653198653198653,0.24633290916681289
31,corral,160,2,0.7381578947368421,0.7710526315789474,0.7960526315789475,0.9118421052631579,0.8682366614879834,0.8540920939389608,0.8833909980009169,0.12368184775114059
32,australian,690,2,0.767448680351906,0.7744868035190615,0.7736070381231672,0.8727272727272727,0.8646673110582827,0.8475125612825135,0.8510001132039327,0.21358287632465361
33,conference_attendance,246,2,0.846218487394958,0.8260504201680672,0.8445378151260504,0.9361344537815126,0.5112980769230769,0.5395673076923077,0.5376442307692307,0.12351381927728652
34,autoUniv-au7-700,700,3,0.3748554913294798,0.35173410404624283,0.3560693641618497,0.6335260115606937,0.5423767195512256,0.5214785218257664,0.5234909252123839,1.1433910489082337
35,diabetes-risk,520,2,0.7625,0.810546875,0.833984375,0.844140625,0.8844734509709129,0.9017806784304245,0.9163177826121988,0.25525276064872743
36,ar1,121,2,0.9256637168141593,0.8672566371681416,0.8920353982300885,0.9274336283185841,0.6166666666666666,0.5323809523809524,0.5269047619047619,0.6478175938129425
37,ar4,107,2,0.8121212121212121,0.7373737373737373,0.7252525252525253,0.8484848484848484,0.6638157894736842,0.49000000000000005,0.5201973684210526,0.7806799232959747
38,backache,180,2,0.8244186046511629,0.8581395348837209,0.8569767441860465,0.9453488372093023,0.6763513513513515,0.5768018018018017,0.6057995495495495,0.2909593924880028
39,datatrieve,130,2,0.9180327868852458,0.839344262295082,0.8262295081967214,0.878688524590164,0.6692857142857143,0.6328571428571429,0.6056250000000001,0.4137936934828758
40,profb,672,2,0.6132530120481927,0.5734939759036145,0.5490963855421687,0.7126506024096385,0.5494336230759016,0.5351643974137668,0.5244446033318694,0.3101146876811981
41,kc2,522,2,0.7385214007782102,0.7256809338521402,0.7322957198443578,0.8797665369649806,0.7086249854465014,0.556723716381418,0.6068110373733846,0.589873993396759
42,megawatt1,253,2,0.8661224489795918,0.8702040816326531,0.8489795918367345,0.9436734693877551,0.6157007376185459,0.6304531085353002,0.6277836318932211,0.4398225277662277
