,dataset,n_rows,n_classes,tabpfn_acc,tabpfn_auc,distilled_acc,distilled_auc,distilled+finetuned_acc,distilled+finetuned_auc,baseline_mlp_acc,baseline_mlp_auc
0,tic-tac-toe,958,2,0.6274633123689728,0.5330924820452638,0.6134171907756814,0.5333199167850717,0.5943396226415094,0.523645453972349,0.5412997903563941,0.5215122227987565
1,monks-problems-2,601,2,0.6227805695142379,0.5117620706819312,0.5879396984924623,0.48885639621702337,0.5698492462311557,0.4834668989547038,0.5283082077051927,0.5059780985564958
2,sonar,208,2,0.6117647058823529,0.6594302269435055,0.5813725490196078,0.5813713182037662,0.5852941176470587,0.5907774022211492,0.642156862745098,0.6685272815065186
3,ionosphere,351,2,0.6397694524495677,0.8619603603603603,0.6478386167146973,0.5114702702702701,0.640922190201729,0.4625765765765766,0.6622478386167148,0.6780612612612612
4,vehicle,846,4,0.38669833729216146,0.6706747449509158,0.295249406175772,0.5433895457400473,0.29002375296912114,0.534149789082491,0.366270783847981,0.626147218400163
5,wdbc,569,2,0.6739823008849558,0.9204701850215546,0.6056637168141593,0.6265483171339064,0.5946902654867257,0.6208611133424371,0.8269026548672567,0.9265202024258976
6,diabetes,768,2,0.650785340314136,0.6849998869622228,0.5842931937172774,0.5042185698460425,0.6130890052356021,0.49890051922019013,0.6282722513089005,0.46815273664458656
7,ilpd,583,2,0.6987910189982729,0.5849878934624697,0.6569948186528497,0.6132282155255404,0.6459412780656304,0.5871451909332244,0.625215889464594,0.6236004550891217
8,blood-transfusion,748,2,0.7518817204301075,0.6711226696160784,0.689247311827957,0.5848364371904861,0.6602150537634409,0.5655058340557398,0.5836021505376344,0.6254586036130293
9,heart-statlog,270,2,0.6781954887218045,0.7684150251946862,0.6030075187969924,0.6136623912047641,0.5804511278195489,0.6267235455794778,0.6413533834586466,0.6760077874484655
10,wine,178,3,0.5988505747126437,0.943185050730343,0.4988505747126437,0.6413780877857963,0.4908045977011494,0.6229427465486783,0.5517241379310345,0.7714563768303494
11,hepatitis,155,2,0.7880794701986755,0.6031182795698924,0.690066225165563,0.5470430107526882,0.6847682119205297,0.5449193548387097,0.5602649006622517,0.5397849462365591
12,tae,151,3,0.40680272108843535,0.5644848041751978,0.3850340136054422,0.5409183768126917,0.3605442176870748,0.5405803254382473,0.3578231292517007,0.524614872413626
13,haberman,306,2,0.7271523178807946,0.5216722972972974,0.6874172185430464,0.48674549549549545,0.6728476821192053,0.48774211711711707,0.6225165562913908,0.6024999999999999
14,vote,435,2,0.8788863109048723,0.9614548761082065,0.6965197215777262,0.6269129347578994,0.7150812064965197,0.6197931348033644,0.8784222737819025,0.9594248692884747
15,monks-problems-1,556,2,0.5282608695652173,0.5857881747532031,0.5561594202898551,0.5693289224952741,0.5445652173913043,0.5637182314639781,0.5213768115942029,0.5301118462507877
16,monks-problems-3,554,2,0.6061818181818182,0.722368351345624,0.5436363636363636,0.5777270078406442,0.5505454545454546,0.5821638588684043,0.6298181818181818,0.7002039627039627
17,planning-relax,182,2,0.7134831460674157,0.4942411610313416,0.5820224719101124,0.5308321753898411,0.5932584269662922,0.5287941948432916,0.5415730337078651,0.4934383202099738
18,credit-approval,690,2,0.6206997084548105,0.7597074136224775,0.5717201166180759,0.5566257906286304,0.5693877551020409,0.552887569381696,0.6807580174927115,0.779962996428725
19,breast-w,699,2,0.7962589928057554,0.9874239926739927,0.8440287769784174,0.7861501831501831,0.8618705035971223,0.7765311355311355,0.8601438848920863,0.9243369963369963
20,breast-cancer,286,2,0.6957446808510638,0.5584475709475709,0.601418439716312,0.5212361712361713,0.5907801418439717,0.5107443482443482,0.5936170212765958,0.5514309764309764
21,credit-g,1000,2,0.6795180722891565,0.5679908638551268,0.6184738955823293,0.51642826638772,0.6058232931726908,0.5135213984443602,0.5905622489959839,0.5775492675249396
22,cleveland,303,2,0.6408026755852843,0.720347841759034,0.6093645484949833,0.6255384338109399,0.5993311036789297,0.61644588627557,0.6695652173913043,0.7444985131116517
23,colic,368,2,0.660989010989011,0.8083907488274299,0.5598901098901099,0.5579686236454795,0.5472527472527473,0.5284295649361151,0.6324175824175825,0.6661103024421802
24,biomed,209,2,0.6692682926829269,0.8088095729317104,0.6126829268292683,0.6076335877862596,0.6517073170731708,0.6687022900763359,0.6146341463414634,0.6191149164431606
25,acute-inflammations,120,2,0.7931034482758621,0.9262254901960786,0.6189655172413792,0.5704044117647059,0.6103448275862069,0.5761642156862746,0.8068965517241379,0.8295343137254901
26,corral,160,2,0.6807692307692308,0.847894385026738,0.6487179487179487,0.6491143048128343,0.6576923076923077,0.6529745989304814,0.6730769230769231,0.7933489304812834
27,australian,690,2,0.8055393586005831,0.8543418957876167,0.5174927113702623,0.5005920571403984,0.5206997084548105,0.525136612021858,0.6673469387755102,0.7941844154726561
28,conference_attendance,246,2,0.7983471074380165,0.49418238993710695,0.5495867768595042,0.48066037735849054,0.552892561983471,0.4998899371069182,0.5214876033057851,0.5115723270440251
29,autoUniv-au7-700,700,3,0.3485632183908046,0.5221740015991234,0.3505747126436782,0.5039882457917791,0.3477011494252874,0.5101129605684409,0.35574712643678164,0.5316299294155109
30,diabetes-risk,520,2,0.6755813953488372,0.814077885775999,0.5476744186046512,0.543696397941681,0.5732558139534885,0.5551410329712217,0.7031007751937984,0.784610253478178
31,ar4,107,2,0.8252427184466018,0.6241854636591478,0.5009708737864077,0.550187969924812,0.4660194174757281,0.493859649122807,0.6194174757281553,0.4545112781954887
32,backache,180,2,0.8477272727272727,0.5983004385964912,0.49090909090909085,0.48939144736842116,0.5295454545454545,0.5092379385964912,0.7556818181818181,0.5086074561403509
33,profb,672,2,0.6649700598802395,0.5175573134478764,0.47634730538922165,0.515698090391495,0.46047904191616773,0.5041628457701417,0.6020958083832335,0.5409633697788079
34,kc2,522,2,0.818918918918919,0.8055046711851988,0.8034749034749034,0.5708989741710937,0.7698841698841699,0.555591683458509,0.8146718146718147,0.8060633815717164
