,dataset,n_rows,n_classes,teacher_acc,student_acc,baseline_acc,agreement,teacher_auc,student_auc,baseline_auc,kl
0,tic-tac-toe,958,2,0.9824143070044709,0.9779433681073024,0.9201192250372578,0.9931445603576752,0.9930526975914713,0.9886511062770691,0.9672300938718716,0.02663989141583443
1,monks-problems-2,601,2,1.0,0.9149643705463182,0.8688836104513064,0.9149643705463182,1.0,0.9893752507019655,0.935654833533895,0.3505815029144287
2,sonar,208,2,0.763013698630137,0.8054794520547945,0.8109589041095889,0.8369863013698631,0.8685143288084465,0.8861990950226243,0.8929298642533936,0.9345873475074769
3,ionosphere,351,2,0.9186991869918699,0.8560975609756097,0.8642276422764228,0.8886178861788618,0.9731156501726123,0.8562787686996547,0.8988420598388952,0.6742998510599136
4,vehicle,846,4,0.8350758853288365,0.8067453625632378,0.7898819561551432,0.8566610455311974,0.9633875079968366,0.94832114718745,0.9347895216553626,0.3155654609203339
5,wdbc,569,2,0.9659147869674186,0.9563909774436089,0.9573934837092732,0.9654135338345865,0.9942872483221477,0.9883221476510066,0.9909395973154362,0.1591655433177948
6,diabetes,768,2,0.7639405204460966,0.7442379182156135,0.7133828996282527,0.8806691449814126,0.829258358662614,0.790887537993921,0.760419452887538,0.09697630368173123
7,ilpd,583,2,0.7202933985330074,0.610757946210269,0.6860635696821515,0.6801955990220049,0.733023065214846,0.6008898255473598,0.7058980213089803,2.5711823880672453
8,balance-scale,625,3,0.9452054794520548,0.9378995433789955,0.938812785388128,0.9726027397260275,0.989088427785949,0.9872387787133649,0.9866505269669539,0.01789043340831995
9,blood-transfusion,748,2,0.7790076335877864,0.7625954198473283,0.7312977099236642,0.9255725190839694,0.722307769423559,0.7049483709273183,0.681196992481203,0.0907831892138347
10,titanic,1309,2,0.7938931297709924,0.7932388222464558,0.7504907306434024,0.9736095965103599,0.8452506928697405,0.8423698664651045,0.7704091710758377,0.007059948286041617
11,heart-statlog,270,2,0.8222222222222223,0.7894179894179894,0.7904761904761906,0.8761904761904761,0.8933560090702948,0.8538775510204081,0.858968253968254,0.23940605223178862
12,glass,214,6,0.6853333333333333,0.6253333333333333,0.6453333333333333,0.708,0.92309517114195,0.8316878100202748,0.8363630640311908,1.7558027982711792
13,wine,178,3,0.9632,0.9536,0.968,0.9616,0.9987686469309425,0.9966901234840403,0.9983423828968736,0.11296311616897584
14,zoo,101,7,0.9408450704225352,0.923943661971831,0.923943661971831,0.9408450704225352,0.9906520877581804,0.9910475437073092,0.9870704625936396,0.12162378653883935
15,hepatitis,155,2,0.8146788990825687,0.8110091743119267,0.8256880733944953,0.9045871559633027,0.8397371081900911,0.7703741152679473,0.825227502527806,0.29449834749102594
16,lymph,148,4,0.803846153846154,0.7596153846153846,0.8153846153846155,0.825,0.947905931903285,0.9130956447149717,0.9563281488555069,1.1484902620315551
17,tae,151,3,0.5113207547169811,0.44716981132075473,0.4830188679245283,0.6735849056603774,0.7025651786858156,0.6088055297883834,0.6126006488485325,0.771188172698021
18,haberman,306,2,0.7153488372093024,0.6986046511627906,0.6641860465116278,0.893953488372093,0.6680990450810571,0.6364867865867199,0.5664556962025316,0.2056835636496544
19,vote,435,2,0.9540983606557377,0.9501639344262296,0.9436065573770491,0.9829508196721312,0.9901296111665004,0.9877458533490439,0.9839436236744312,0.01451396308839321
20,monks-problems-1,556,2,1.0,0.9989743589743589,0.9856410256410257,0.9989743589743589,1.0,1.0,0.9996107823800131,0.0014227416191715746
21,monks-problems-3,554,2,0.9871134020618557,0.9871134020618557,0.9809278350515465,1.0,0.9879245182582774,0.9876211008197593,0.9834397955924624,0.0026726933661848306
22,planning-relax,182,2,0.7046875,0.48125,0.55625,0.5578125,0.45102465102465106,0.470923670923671,0.46153846153846156,3.5609707593917848
23,credit-approval,690,2,0.8579710144927535,0.8563146997929607,0.804968944099379,0.9196687370600415,0.920416522040958,0.9063415480735856,0.858585560569247,0.06861117258667945
24,breast-w,699,2,0.9693877551020409,0.9616326530612245,0.9559183673469388,0.9791836734693877,0.9936846762152298,0.993245958450847,0.9894302199118877,0.023053293116390705
25,breast-cancer,286,2,0.7114427860696517,0.6855721393034825,0.6507462686567164,0.8686567164179104,0.6586879432624114,0.599775413711584,0.5709219858156028,0.22902578562498094
26,credit-g,1000,2,0.7428571428571429,0.7031428571428571,0.7174285714285715,0.8077142857142856,0.7676151603498543,0.7065140913508261,0.7218454810495627,0.34843161702156067
27,ecoli,336,8,0.861864406779661,0.8542372881355933,0.7830508474576271,0.9601694915254237,0.9092921852567096,0.8972705238428957,0.867239899296883,0.03999396525323391
28,flags,194,8,0.6176470588235295,0.5514705882352942,0.5691176470588235,0.6308823529411766,0.8325578198664004,0.7905385895021254,0.7834376837505336,0.9413496375083923
29,cleveland,303,2,0.8122065727699532,0.7821596244131456,0.7812206572769952,0.87981220657277,0.8959893522626443,0.8559006211180125,0.8618722271517303,0.2029823049902916
30,colic,368,2,0.8387596899224807,0.7705426356589148,0.7713178294573643,0.8511627906976743,0.8929286406199548,0.8307717145624798,0.8103132063287053,0.40142910480499266
31,biomed,209,2,0.8802721088435375,0.8353741496598639,0.8544217687074831,0.9061224489795918,0.9470493777599357,0.9079887595343236,0.9085307105580089,0.4114327818155289
32,analcatdata_authorship,841,4,0.9989813242784381,0.9942275042444821,0.9932088285229203,0.9952461799660443,0.9999950159527788,0.9999617042780059,0.999875233139166,0.014223038777709007
33,analcatdata_lawsuit,264,2,0.9664864864864866,0.9610810810810811,0.9643243243243242,0.9794594594594594,0.9911449016100178,0.9903398926654742,0.9830500894454384,0.11286682435311376
34,climate-crashes,540,2,0.9164021164021164,0.8142857142857143,0.908994708994709,0.8291005291005291,0.8567196531791907,0.7293442919075144,0.7908146676300578,0.7690440207719803
35,acute-inflammations,120,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006623518012929708
36,breast-tissue,106,6,0.368,0.3413333333333333,0.32533333333333336,0.5279999999999999,0.6627772519445907,0.6592855253318962,0.6568917311034246,3.2544010162353514
37,fertility,100,2,0.8828571428571429,0.7885714285714285,0.8285714285714286,0.8371428571428572,0.6205645161290323,0.6241935483870968,0.6548387096774193,0.6631092369556427
38,corral,160,2,0.9785714285714284,0.9767857142857143,0.9785714285714286,0.9875,0.9961775186264983,0.9983803045027535,0.9983803045027535,0.023432244174182416
39,australian,690,2,0.8666666666666668,0.8459627329192546,0.8252587991718426,0.9229813664596274,0.9234154807358556,0.9042242276987157,0.8826674765706353,0.07120066974312067
40,conference_attendance,246,2,0.8670520231213873,0.8670520231213873,0.8346820809248555,0.9861271676300578,0.6037627934978927,0.5959361830222758,0.596387718242023,0.04732877016067505
41,autoUniv-au7-700,700,3,0.46571428571428564,0.3955102040816327,0.3893877551020408,0.45999999999999996,0.6841635431383863,0.5848057332676765,0.5674999658457386,0.43201149702072145
42,autoUniv-au6-400,400,8,0.3192857142857143,0.18785714285714286,0.20357142857142857,0.255,0.571803579885873,0.5161461043175588,0.5221724428219366,2.379179000854492
43,diabetes-risk,520,2,0.9362637362637363,0.9340659340659341,0.9098901098901099,0.9747252747252748,0.9830484693877551,0.9727264030612244,0.9456473214285713,0.11015427932143211
44,ar1,121,2,0.9105882352941178,0.7905882352941177,0.8752941176470588,0.8470588235294118,0.69915611814346,0.629746835443038,0.6772151898734177,1.271079597622156
45,ar4,107,2,0.8346666666666668,0.6880000000000001,0.7973333333333332,0.7466666666666667,0.7826697892271663,0.7322014051522248,0.7440281030444964,1.7982885837554932
46,backache,180,2,0.8507936507936508,0.719047619047619,0.834920634920635,0.7634920634920634,0.6755531570426335,0.6624392876416622,0.6155423637344846,1.3007196605205535
47,datatrieve,130,2,0.9032967032967033,0.8835164835164836,0.8791208791208792,0.9582417582417584,0.7548192771084338,0.7126506024096385,0.6496987951807229,0.11304174698889255
48,profb,672,2,0.6815286624203821,0.621656050955414,0.638216560509554,0.6233545647558386,0.6760233680879549,0.6585642419570774,0.6468842549393484,1.912661600112915
49,kc2,522,2,0.8344262295081967,0.8245901639344263,0.8131147540983606,0.9016393442622951,0.825823596792669,0.7529942726231387,0.7127926689576174,0.3396648220717907
50,megawatt1,253,2,0.8865168539325843,0.8157303370786517,0.8685393258426967,0.8685393258426967,0.7328037073816617,0.6765971532605098,0.6258523667659714,0.5703843347728252
