,model,acc_mean,acc_std,auc_mean,auc_std
0,tabpfn,0.7351290273526541,0.15274828678037936,0.7111139398309072,0.1567258628732124
1,distilled,0.6342888594210075,0.13202389789525507,0.606034584263828,0.10805283992498725
2,distilled+finetuned,0.6256853573284765,0.13546755401021035,0.5963090609778142,0.09729376970090943
3,baseline_mlp,0.6752256819943541,0.14719156828622762,0.6836581504987989,0.14903638357672092
