,dataset,n_rows,n_classes,teacher_acc,student_acc,baseline_acc,agreement,teacher_auc,student_auc,baseline_auc,kl
0,tic-tac-toe,958,2,0.6730021598272138,0.6511879049676026,0.6693304535637148,0.7678185745140389,0.6817054143817101,0.6668412244792874,0.6675085605416957,0.6444457828998565
1,monks-problems-2,601,2,0.6548330404217927,0.5876977152899825,0.5908611599297012,0.8119507908611598,0.5893541752365282,0.5497463320992733,0.5661456190867955,0.21551787108182907
2,sonar,208,2,0.7125,0.7227272727272728,0.7545454545454546,0.8261363636363637,0.790373637778931,0.80570835495589,0.8246107939802801,1.0225597262382506
3,ionosphere,351,2,0.8532915360501567,0.8457680250783699,0.8181818181818181,0.8808777429467085,0.9394970161977835,0.8644245524296675,0.8528601875532822,0.8716237783432007
4,vehicle,846,4,0.6427518427518428,0.6425061425061426,0.607862407862408,0.7312039312039312,0.860641726064095,0.8438181496309365,0.804967997619177,1.8328340530395508
5,wdbc,569,2,0.9243947858473,0.9061452513966481,0.9366852886405959,0.9452513966480446,0.9780237388724036,0.9574851632047476,0.9772344213649852,0.2132513090968132
6,diabetes,768,2,0.685054347826087,0.6540760869565219,0.6959239130434783,0.7097826086956521,0.7931943169540954,0.6712582146657677,0.7313786016587736,1.4085107147693634
7,ilpd,583,2,0.6871143375680581,0.564065335753176,0.6417422867513611,0.6337568058076226,0.7019389957161722,0.6031597255773504,0.6353077592037878,2.81597101688385
8,balance-scale,625,3,0.8209106239460372,0.8188870151770657,0.8617200674536256,0.854637436762226,0.8654183877588132,0.8811737198971242,0.9079113004312471,0.29145633727312087
9,blood-transfusion,748,2,0.741340782122905,0.6865921787709497,0.6868715083798882,0.8262569832402236,0.6737459599224305,0.6355559146735617,0.634047619047619,0.19585500843822956
10,titanic,1309,2,0.73469068128426,0.7199686765857478,0.6660924040720438,0.8449490994518403,0.7153179475991606,0.7270172349311226,0.6552034636082196,0.27415044903755187
11,heart-statlog,270,2,0.7991596638655463,0.7445378151260504,0.7857142857142858,0.846218487394958,0.8724699828473413,0.8145082904516867,0.844496855345912,0.5545530080795288
12,glass,214,6,0.6340659340659341,0.576923076923077,0.5615384615384615,0.6571428571428571,0.8772579719113371,0.7521408623478252,0.7545530638287631,3.6432293891906737
13,wine,178,3,0.9547945205479452,0.9383561643835616,0.9643835616438355,0.9506849315068493,0.9981717454099993,0.9952666772469583,0.9986824177409254,0.16104346811771392
14,zoo,101,7,0.9507246376811593,0.9362318840579709,0.9275362318840579,0.944927536231884,0.9975003728334906,0.9936598955320154,0.9898189847786621,0.11745390519499779
15,hepatitis,155,2,0.8097560975609757,0.8243902439024391,0.8341463414634147,0.8487804878048781,0.8320816326530611,0.8099591836734694,0.8244489795918367,0.7230139181017876
16,tae,151,3,0.4672268907563025,0.44033613445378156,0.44033613445378156,0.6756302521008404,0.6589939024390243,0.6070791640608714,0.5954007713154056,2.6191608011722565
17,haberman,306,2,0.7007299270072992,0.6788321167883211,0.6686131386861315,0.8291970802919708,0.6612485517617392,0.6240441627479043,0.6244326313637293,0.533646497130394
18,vote,435,2,0.927047146401985,0.929528535980149,0.9200992555831264,0.973697270471464,0.9835227862555798,0.9777769126959409,0.9747145229938752,0.04188447520136833
19,monks-problems-1,556,2,0.7717557251908398,0.73206106870229,0.7068702290076336,0.8465648854961833,0.8235475788124234,0.8050084493910612,0.7954985140726065,0.2396618328988552
20,monks-problems-3,554,2,0.9107279693486591,0.8501915708812261,0.8586206896551725,0.9141762452107279,0.960790050131577,0.9444980226694696,0.944702371326502,0.08820903524756432
21,planning-relax,182,2,0.7093333333333331,0.5546666666666666,0.5893333333333334,0.6479999999999999,0.4808519886981091,0.5013692675505325,0.48115627037600517,2.542963457107544
22,credit-approval,690,2,0.8221884498480243,0.7930091185410334,0.7914893617021276,0.8455927051671732,0.8966749263640189,0.8556781523212866,0.8582972555986721,0.44536575973033904
23,breast-w,699,2,0.9574212893553223,0.9415292353823089,0.9526236881559221,0.9667166416791604,0.9914635359665706,0.9819341359068747,0.9893135011441647,0.08428548723459243
24,breast-cancer,286,2,0.7023622047244096,0.6401574803149606,0.6622047244094488,0.7976377952755905,0.6339962756052141,0.6021899441340781,0.6246480446927374,0.8351769268512725
25,credit-g,1000,2,0.6960743801652892,0.6324380165289256,0.6900826446280991,0.7185950413223139,0.6899104872342591,0.6617587224087071,0.6727169158783439,1.1070200085639954
26,flags,194,8,0.4765432098765432,0.4530864197530864,0.48641975308641977,0.4765432098765432,0.7335767199949466,0.6886067107113223,0.6963431171040035,1.8414111137390137
27,cleveland,303,2,0.785239852398524,0.7793357933579336,0.7667896678966789,0.8922509225092252,0.8798222514812377,0.8481786262892254,0.8479152951503183,0.25489268749952315
28,colic,368,2,0.8261904761904763,0.7220238095238096,0.7440476190476191,0.8101190476190476,0.8688298843578819,0.7804245283018868,0.8015900791235545,0.7556312024593353
29,biomed,209,2,0.872316384180791,0.7706214689265536,0.8305084745762713,0.816949152542373,0.9470962389380532,0.8403484513274335,0.8938606194690264,1.1685553967952729
30,analcatdata_authorship,841,4,0.9601977750309023,0.9747836835599506,0.977008652657602,0.9503090234857849,0.9981281992889105,0.9984242513802697,0.9987148234894729,0.20216823369264603
31,analcatdata_lawsuit,264,2,0.9525862068965516,0.9568965517241379,0.9543103448275861,0.9784482758620691,0.9791518467852256,0.9817783857729138,0.966949384404925,0.044727974012494086
32,climate-crashes,540,2,0.9149606299212598,0.623228346456693,0.9043307086614174,0.628740157480315,0.60192048012003,0.5702375593898474,0.6081820455113778,3.385481858253479
33,acute-inflammations,120,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04316805023408961
34,breast-tissue,106,6,0.3648648648648648,0.29729729729729726,0.31081081081081086,0.4243243243243244,0.652221071588474,0.634079341284815,0.6669276158497992,3.186585235595703
35,fertility,100,2,0.8764705882352942,0.8176470588235294,0.8176470588235295,0.8823529411764707,0.6245833333333333,0.65,0.6716666666666666,0.3517317160964012
36,corral,160,2,0.903125,0.9484375,0.9625,0.9390625,0.9649305555555555,0.9913194444444444,0.9967757936507937,0.21313097476959228
37,australian,690,2,0.8537993920972644,0.7996960486322189,0.7878419452887538,0.8826747720364742,0.9108083594370937,0.8633559306185422,0.858473046893263,0.31590547114610673
38,conference_attendance,246,2,0.8514018691588785,0.7644859813084112,0.8252336448598131,0.888785046728972,0.5426024955436721,0.5428203604674193,0.5738958209546445,0.6648561088368297
39,autoUniv-au7-700,700,3,0.35419161676646704,0.3344311377245509,0.35538922155688624,0.5491017964071856,0.5216241877367983,0.5091634466868463,0.5223699471278994,1.4546431064605714
40,autoUniv-au6-400,400,8,0.2766304347826087,0.15380434782608696,0.21413043478260868,0.27228260869565213,0.526401736287949,0.5157143922571553,0.5175533196949131,1.814910101890564
41,diabetes-risk,520,2,0.8663934426229508,0.8319672131147542,0.8504098360655737,0.9032786885245901,0.9453014184397164,0.9228404255319148,0.9379060283687946,0.37704735398292544
42,ar1,121,2,0.8966292134831461,0.8696629213483146,0.8786516853932584,0.9415730337078652,0.6130662020905924,0.5378048780487805,0.5729965156794425,0.22761558666825293
43,ar4,107,2,0.8346666666666668,0.72,0.7866666666666666,0.7573333333333334,0.7826697892271663,0.7392271662763467,0.7539812646370023,1.794957411289215
44,backache,180,2,0.827027027027027,0.7054054054054054,0.8148648648648648,0.7783783783783783,0.5770528683914511,0.5515185601799775,0.5208848893888264,1.5982660621404647
45,datatrieve,130,2,0.8979591836734695,0.8571428571428571,0.8755102040816327,0.9020408163265305,0.6727777777777778,0.5669444444444445,0.6361111111111111,0.503363287448883
46,profb,672,2,0.6628125,0.5206250000000001,0.5759375,0.5340625,0.5424415344526173,0.5362601840551504,0.53909467735374,1.938600730895996
47,kc2,522,2,0.7955102040816326,0.7587755102040817,0.7869387755102042,0.8742857142857142,0.7753846153846154,0.6377897435897436,0.6568179487179486,0.8069169163703919
48,megawatt1,253,2,0.8814479638009051,0.8045248868778281,0.8443438914027149,0.8796380090497739,0.6681049069373943,0.617766497461929,0.5945854483925549,0.9384288683533668
