,dataset,n_rows,n_classes,teacher_acc,student_acc,baseline_acc,agreement,teacher_auc,student_auc,baseline_auc,kl
24,colic,368,2,0.7333333333333332,0.6794444444444444,0.7033333333333334,0.7983333333333332,0.7775959723096286,0.7344837865589084,0.7459375310523004,0.3752855211496353
25,biomed,209,2,0.8288557213930348,0.8109452736318408,0.8059701492537312,0.8407960199004976,0.9051679586563306,0.8665159345391903,0.8530469422911283,0.6900397956371307
26,analcatdata_lawsuit,264,2,0.93515625,0.94609375,0.93046875,0.9625,0.9145658263305322,0.9205415499533146,0.9361344537815126,0.12749826163053513
27,climate-crashes,540,2,0.9154135338345866,0.793609022556391,0.9082706766917292,0.8383458646616541,0.6014236824093087,0.5902121834360028,0.6151403148528406,0.415817391872406
28,acute-inflammations,120,2,0.8767857142857143,0.9589285714285716,0.9625,0.9178571428571429,0.9940425531914894,1.0,1.0,0.20522995442152023
29,breast-tissue,106,6,0.3448979591836735,0.2795918367346939,0.27346938775510204,0.36530612244897964,0.614230395200623,0.6086455679733138,0.6118107972984742,2.3133599758148193
30,fertility,100,2,0.8782608695652174,0.8608695652173912,0.8391304347826087,0.9478260869565218,0.5290684624017958,0.6162738496071829,0.5675645342312008,0.22108913213014603
31,corral,160,2,0.7381578947368421,0.7855263157894736,0.7763157894736843,0.8973684210526315,0.8682366614879834,0.8693386506096553,0.877571785395866,0.10799847543239594
32,australian,690,2,0.767448680351906,0.7636363636363637,0.7812316715542522,0.8478005865102638,0.8646673110582827,0.8359884009509132,0.8606616334456664,0.23465165197849275
33,conference_attendance,246,2,0.846218487394958,0.8159663865546218,0.8277310924369747,0.9310924369747898,0.5112980769230769,0.5180929487179486,0.5339583333333333,0.123598263412714
34,autoUniv-au7-700,700,3,0.3748554913294798,0.3583815028901734,0.35664739884393065,0.6482658959537573,0.5423767195512256,0.5235760531691521,0.5239571167253653,1.1108088135719298
35,diabetes-risk,520,2,0.7625,0.828515625,0.8203125,0.826171875,0.8844734509709129,0.918958987994521,0.9179856578841351,0.2708550035953522
36,ar1,121,2,0.9256637168141593,0.8690265486725665,0.9061946902654867,0.9327433628318584,0.6166666666666666,0.5054761904761904,0.5257142857142857,0.6731508135795593
37,ar4,107,2,0.8121212121212121,0.7515151515151516,0.7171717171717171,0.8626262626262626,0.6638157894736842,0.4836184210526316,0.515328947368421,0.716156268119812
38,backache,180,2,0.8244186046511629,0.8546511627906976,0.8511627906976745,0.944186046511628,0.6763513513513515,0.5109234234234235,0.5902027027027027,0.3047900304198265
39,datatrieve,130,2,0.9180327868852458,0.8459016393442622,0.8245901639344263,0.8721311475409836,0.6692857142857143,0.6516071428571428,0.6066964285714286,0.40249628871679305
40,profb,672,2,0.6132530120481927,0.5786144578313254,0.5512048192771084,0.7310240963855421,0.5494336230759016,0.5266580186511138,0.5290757178023145,0.3135222762823105
41,kc2,522,2,0.7385214007782102,0.7241245136186769,0.7311284046692605,0.8774319066147861,0.7086249854465014,0.5430434276400046,0.6060635696821516,0.668142431974411
42,megawatt1,253,2,0.8661224489795918,0.8702040816326531,0.8497959183673469,0.9273469387755101,0.6157007376185459,0.5911837021426063,0.6295574288724974,0.4750581979751587
