,model,acc_mean,acc_std,auc_mean,auc_std
0,tabpfn,0.6746243896545947,0.12229287274759511,0.6993940137165375,0.15286861656133413
1,distilled,0.5836292315295644,0.10885387142602995,0.5619428777930956,0.061933021437891624
2,distilled+finetuned,0.5800542282721948,0.1104159521469225,0.5581125701423668,0.0640578721801131
3,baseline_mlp,0.6248677083495036,0.12525969552450728,0.6531294481628619,0.14024323459931978
